cifar10_8_255_simplified-cifar10_spec_idx_19_eps_0.03137_n1, timeout, 135.2 (v), 1.0 (v), 2.0 (v), 1.0 (v), 4.1 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_21_eps_0.03137_n1, 139.6 (h), 12.2 (h), 5.0 (h), 1.0 (h), 1.0 (h), 4.3 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_23_eps_0.03137_n1, timeout, 128.0 (v), 1.0 (v), 1.8 (v), 1.0 (v), 4.3 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_28_eps_0.03137_n1, timeout, timeout, timeout, timeout, timeout, -, -
cifar10_8_255_simplified-cifar10_spec_idx_29_eps_0.03137_n1, timeout, 120.6 (h), 7.1 (h), 1.6 (h), 1.3 (h), 137.5 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_30_eps_0.03137_n1, timeout, 119.9 (v), 1.0 (v), 1.7 (v), 1.0 (v), 4.1 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_32_eps_0.03137_n1, timeout, timeout, 1.0 (v), 2.3 (v), 1.0 (v), 4.2 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_33_eps_0.03137_n1, timeout, 121.7 (v), 1.0 (v), 1.7 (v), 1.0 (v), 4.1 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_34_eps_0.03137_n1, timeout, 128.2 (h), 6.8 (h), 1.8 (h), 1.0 (h), 144.5 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_38_eps_0.03137_n1, timeout, 125.4 (v), 1.0 (v), 1.9 (v), 1.2 (v), 9.5 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_39_eps_0.03137_n1, timeout, timeout, 1.0 (v), 1.9 (v), 1.0 (v), 4.2 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_41_eps_0.03137_n1, timeout, 13.9 (h), 5.1 (h), 1.2 (h), 1.0 (h), 4.1 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_44_eps_0.03137_n1, timeout, timeout, 1.0 (v), 1.7 (v), 1.0 (v), 4.2 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_45_eps_0.03137_n1, timeout, timeout, 28.3 (h), 20.2 (h), 8.1 (h), timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_49_eps_0.03137_n1, timeout, 122.7 (h), 7.0 (h), 2.0 (h), 1.0 (h), 132.6 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_50_eps_0.03137_n1, timeout, 14.0 (h), 5.1 (h), 1.5 (h), 1.0 (h), 4.1 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_51_eps_0.03137_n1, timeout, timeout, 68.2 (h), timeout, 26.9 (h), timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_54_eps_0.03137_n1, timeout, 110.4 (h), 5.1 (h), 1.8 (h), 1.0 (h), 4.1 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_55_eps_0.03137_n1, timeout, 153.9 (h), 7.0 (h), 2.1 (h), 1.0 (h), 214.2 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_60_eps_0.03137_n1, timeout, 124.4 (v), 1.0 (v), 2.0 (v), 1.0 (v), 4.1 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_64_eps_0.03137_n1, timeout, timeout, timeout, timeout, error, timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_66_eps_0.03137_n1, timeout, timeout, 20.6 (h), 7.1 (h), 2.5 (h), timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_67_eps_0.03137_n1, timeout, 106.5 (v), 1.0 (v), 1.6 (v), 1.0 (v), 3.9 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_71_eps_0.03137_n1, timeout, timeout, 50.9 (h), timeout, 190.2 (h), -, -
cifar10_8_255_simplified-cifar10_spec_idx_72_eps_0.03137_n1, timeout, timeout, 28.0 (h), 17.7 (h), 4.0 (h), timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_73_eps_0.03137_n1, timeout, timeout, 23.0 (h), 52.7 (h), 4.3 (h), timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_74_eps_0.03137_n1, timeout, 110.4 (v), 1.0 (v), 1.5 (v), 1.0 (v), 4.2 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_76_eps_0.03137_n1, timeout, timeout, 61.2 (h), timeout, 37.2 (h), timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_79_eps_0.03137_n1, timeout, 96.6 (v), 1.0 (v), 1.1 (v), 1.0 (v), 4.2 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_80_eps_0.03137_n1, timeout, timeout, 43.8 (h), 78.6 (h), 5.4 (h), timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_81_eps_0.03137_n1, timeout, 13.2 (h), 5.1 (h), 1.2 (h), 1.0 (h), 4.2 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_82_eps_0.03137_n1, timeout, 14.1 (h), 5.0 (h), 1.8 (h), 1.0 (h), 4.2 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_83_eps_0.03137_n1, timeout, 107.3 (v), 1.0 (v), 1.7 (v), 1.0 (v), 4.1 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_84_eps_0.03137_n1, timeout, timeout, timeout, timeout, timeout, -, -
cifar10_8_255_simplified-cifar10_spec_idx_86_eps_0.03137_n1, timeout, timeout, 1.0 (v), 1.9 (v), 1.0 (v), 4.2 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_88_eps_0.03137_n1, timeout, timeout, 7.4 (h), 3.2 (h), 1.0 (h), 234.1 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_89_eps_0.03137_n1, timeout, timeout, 1.0 (v), 2.1 (v), 1.0 (v), 4.5 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_90_eps_0.03137_n1, timeout, 131.4 (v), 1.0 (v), 2.0 (v), 1.0 (v), 4.2 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_92_eps_0.03137_n1, timeout, 13.0 (h), 5.0 (h), 1.3 (h), 1.0 (h), 4.2 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_95_eps_0.03137_n1, timeout, timeout, 1.0 (v), 2.1 (v), 1.0 (v), 4.1 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_96_eps_0.03137_n1, timeout, timeout, 1.0 (v), 130.7 (v), error, 9.7 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_97_eps_0.03137_n1, timeout, timeout, timeout, timeout, timeout, 12.5 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_98_eps_0.03137_n1, 272.4 (h), 12.4 (h), 5.1 (h), 1.0 (h), 1.0 (h), 4.0 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_99_eps_0.03137_n1, timeout, timeout, 1.0 (v), 1.8 (v), 1.0 (v), 4.3 (v), -
